tick,x,y,robot_id,team
32,-1.15646,1.10924,0,0
32,-1.12864,-0.03975,1,0
32,-1.49997,-1.12000,2,0
32,1.49997,0.00000,1,1
32,1.49997,-1.12000,2,1
32,1.12313,0.93336,0,1
33,0.00000,0.00000,-1,-1
33,-1.13234,1.10880,0,0
33,-1.10255,-0.04336,1,0
33,-1.49997,-1.12000,2,0
33,1.49997,0.00000,1,1
33,1.49997,-1.12000,2,1
33,1.10140,0.91916,0,1
34,0.00000,0.00000,-1,-1
34,-1.10730,1.10836,0,0
34,-1.07600,-0.04664,1,0
34,-1.49997,-1.12000,2,0
34,1.49997,-0.00000,1,1
34,1.49997,-1.12000,2,1
34,1.07910,0.90404,0,1
35,0.00000,0.00000,-1,-1
35,-1.08133,1.10792,0,0
35,-1.04936,-0.04946,1,0
35,-1.49997,-1.12000,2,0
35,1.49997,-0.00000,1,1
35,1.49997,-1.12000,2,1
35,1.05618,0.88801,0,1
36,0.00000,0.00000,-1,-1
36,-1.05444,1.10746,0,0
36,-1.02296,-0.05224,1,0
36,-1.49997,-1.12000,2,0
36,1.49997,0.00000,1,1
36,1.49997,-1.12000,2,1
36,1.03260,0.87109,0,1
37,0.00000,0.00000,-1,-1
37,-1.02662,1.10699,0,0
37,-0.99683,-0.05558,1,0
37,-1.49997,-1.12000,2,0
37,1.49997,0.00000,1,1
37,1.49997,-1.12000,2,1
37,1.00827,0.85333,0,1
38,0.00000,0.00000,-1,-1
38,-0.99789,1.10650,0,0
38,-0.97118,-0.05929,1,0
38,-1.49997,-1.12000,2,0
38,1.49997,0.00000,1,1
38,1.49997,-1.12000,2,1
38,0.98321,0.83483,0,1
39,0.00000,0.00000,-1,-1
39,-0.96823,1.10598,0,0
39,-0.94587,-0.06293,1,0
39,-1.49997,-1.12000,2,0
39,1.49997,-0.00000,1,1
39,1.49997,-1.12000,2,1
39,0.95737,0.81556,0,1
40,0.00000,0.00000,-1,-1
40,-0.93765,1.10544,0,0
40,-0.92091,-0.06652,1,0
40,-1.49997,-1.12000,2,0
40,1.49997,-0.00000,1,1
40,1.49997,-1.12000,2,1
40,0.93079,0.79555,0,1
41,0.00000,0.00000,-1,-1
41,-0.90615,1.10487,0,0
41,-0.89609,-0.06945,1,0
41,-1.49997,-1.12000,2,0
41,1.49997,-0.00000,1,1
41,1.49997,-1.12000,2,1
41,0.90344,0.77476,0,1
42,0.00000,0.00000,-1,-1
42,-0.87373,1.10426,0,0
42,-0.87227,-0.07205,1,0
42,-1.49997,-1.12000,2,0
42,1.49997,-0.00000,1,1
42,1.49997,-1.12000,2,1
42,0.87535,0.75323,0,1
43,0.00000,0.00000,-1,-1
43,-0.84040,1.10361,0,0
43,-0.84847,-0.07459,1,0
43,-1.49997,-1.12000,2,0
43,1.49997,-0.00000,1,1
43,1.49997,-1.12000,2,1
43,0.84649,0.73092,0,1
44,0.00000,0.00000,-1,-1
44,-0.80615,1.10291,0,0
44,-0.82476,-0.07756,1,0
44,-1.49997,-1.12000,2,0
44,1.49997,-0.00000,1,1
44,1.49997,-1.12000,2,1
44,0.81689,0.70786,0,1
45,0.00000,0.00000,-1,-1
45,-0.77099,1.10216,0,0
45,-0.80162,-0.08082,1,0
45,-1.49997,-1.12000,2,0
45,1.49997,-0.00000,1,1
45,1.49997,-1.12000,2,1
45,0.78705,0.68443,0,1
46,0.00000,0.00000,-1,-1
46,-0.73492,1.10137,0,0
46,-0.77885,-0.08401,1,0
46,-1.49997,-1.12000,2,0
46,1.49997,0.00000,1,1
46,1.49997,-1.12000,2,1
46,0.75730,0.66092,0,1
47,0.00000,0.00000,-1,-1
47,-0.69795,1.10054,0,0
47,-0.75644,-0.08714,1,0
47,-1.49997,-1.12000,2,0
47,1.49997,0.00000,1,1
47,1.49997,-1.12000,2,1
47,0.72764,0.63733,0,1
48,0.00000,0.00000,-1,-1
48,-0.66007,1.09965,0,0
48,-0.73420,-0.08964,1,0
48,-1.49997,-1.12000,2,0
48,1.49997,0.00000,1,1
48,1.49997,-1.12000,2,1
48,0.69810,0.61368,0,1
49,0.00000,0.00000,-1,-1
49,-0.62129,1.09870,0,0
49,-0.71297,-0.09191,1,0
49,-1.49997,-1.12000,2,0
49,1.49997,0.00000,1,1
49,1.49997,-1.12000,2,1
49,0.66875,0.59002,0,1
50,0.00000,0.00000,-1,-1
50,-0.58277,1.09783,0,0
50,-0.69178,-0.09414,1,0
50,-1.49997,-1.12000,2,0
50,1.49997,0.00000,1,1
50,1.49997,-1.12000,2,1
50,0.64015,0.56696,0,1
51,0.00000,0.00000,-1,-1
51,-0.54534,1.09726,0,0
51,-0.67121,-0.09631,1,0
51,-1.49997,-1.12000,2,0
51,1.49997,0.00000,1,1
51,1.49997,-1.12000,2,1
51,0.61257,0.54476,0,1
52,0.00000,0.00000,-1,-1
52,-0.47130,1.09529,0,0
52,-0.63024,-0.10134,1,0
52,-1.49997,-1.12000,2,0
52,1.49997,0.00000,1,1
52,1.49997,-1.12000,2,1
52,0.56019,0.50245,0,1
53,0.00000,0.00000,-1,-1
53,-0.43407,1.09369,0,0
53,-0.61000,-0.10397,1,0
53,-1.49997,-1.12000,2,0
53,1.49997,0.00000,1,1
53,1.49997,-1.12000,2,1
53,0.53531,0.48226,0,1
54,0.00000,0.00000,-1,-1
54,-0.39632,1.09206,0,0
54,-0.59042,-0.10659,1,0
54,-1.49997,-1.12000,2,0
54,1.49997,0.00000,1,1
